"","R'S ID-SERIAL #","SAMPLING WEIGHT","year","Sex","Race","High_school_grades","College_aspirations","Parents_education","Social_Trust","Social_Responsibility","Religiosity","Cigarettes_Lifetime","Cigarettes_30Day","Alcohol_Lifetime","Alcohol_30Day","Binge_Drinking","Marijuana_Lifetime","Marijuana_30Day","Other_illicit_drugs_Lifetime","Other_illicit_drugs_30Day","Hallucinogens_Lifetime","Hallucinogens_30Day","Cocaine_Lifetime","Cocaine_30Day","Amphetamines_Lifetime","Amphetamines_30Day","Barbiturates_Lifetime","Barbiturates_30Day","Tranquilizers_Lifetime","Tranquilizers_30Day","Narcotics_Lifetime","Narcotics_30Day"
"114",10257,0.149,2009,"Male","White",7,"4-year college plans","6",2,2,-0.929277577458375,5,3,5,2,1,7,6,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"115",10258,0.4798,2009,"Female","White",7,"4-year college plans","6",1.66666666666667,3.66666666666667,-0.0332074296120937,5,4,7,2,1,7,4,"Yes","Yes",2,1,7,4,7,4,4,1,7,3,2,1
"116",10263,0.7966,2009,"Female","White",3,"4-year college plans","5",2.5,3,-0.481242503535234,3,2,4,4,2,3,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"117",10264,0.4019,2009,"Male","Hispanic",6,"4-year college plans","3",1.66666666666667,1.66666666666667,-0.481242503535234,1,1,4,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"118",10265,0.5025,2009,"Male","Hispanic",3,"2-year college plans","4",2.33333333333333,2.33333333333333,-1.37583954183271,1,1,3,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"119",10267,0.423,2009,"Male","Hispanic",9,"4-year college plans","2",1.66666666666667,2.33333333333333,-1.37583954183271,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"120",10269,0.6957,2009,"Female","Hispanic",5,"4-year college plans","5",2,1,0.414827644311047,2,1,7,4,1,5,2,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"121",10272,1.5587,2009,"Male","White",9,"4-year college plans","5",1.33333333333333,3,0.861389608685382,1,1,3,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"122",10274,0.527,2009,"Female","Other/missing",9,"4-year college plans","5",1,4,0.859916499136577,1,1,1,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"123",10281,0.9421,2009,"Male","Black",6,"2-year college plans","4",1.33333333333333,2,-0.479769393986429,1,1,1,1,1,1,1,"Yes","No",1,1,1,1,3,1,1,1,1,1,1,1
"124",10282,0.943,2009,"Male","White",5,"No college plans","5",1.66666666666667,2,-0.481242503535234,1,1,7,4,2,7,4,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"125",10283,0.7799,2009,"Female","White",8,"4-year college plans","3",1,2,0.411881425213436,1,1,7,5,1,1,1,"Yes","Yes",1,1,1,1,2,2,1,1,1,1,3,1
"126",10286,1.8473,2009,"Female","Black",2,"4-year college plans","5",1,2,-0.481242503535234,2,3,5,4,4,3,1,"Yes","Yes",1,1,1,1,2,2,1,1,1,1,2,1
"127",10287,1.3705,2009,"Female","Hispanic",8,"4-year college plans","5",1.33333333333333,3,0.414827644311047,1,1,2,1,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"128",10288,0.666,2009,"Male","Other/missing",6,"4-year college plans","4",1.33333333333333,2,-0.929277577458375,1,1,5,2,1,1,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"129",10289,0.2238,2009,"Male","White",8,"4-year college plans","4",1,3.66666666666667,0.861389608685382,2,1,6,3,2,2,1,"No","No",1,1,1,1,1,1,1,1,1,1,1,1
"130",10291,0.8988,2009,"Female","White",9,"4-year college plans","6",2.33333333333333,3,0.413354534762241,3,1,5,1,1,1,1,"Yes","No",1,1,1,1,1,1,2,1,1,1,4,1
